X,Y,OBJECTID,Site_Name,Site_Score,Site_EPA_ID,SEMS_ID,SITS_ID,Region_ID,State,City,County,Status,Longitude,Latitude,Proposed_Date,Listing_Date,Construction_Completion_Date,Construction_Completion_Number,NOID_Date,Deletion_Date,Site_Listing_Narrative,Site_Progress_Profile,Notice_of_Data_Availability,Proposed_FR_Notice,Deletion_FR_Notice,Final_FR_Notice,NOID_FR_Notice,Restoration_FR_Notice_Jumper_Pa,Site_has_had_a_Partial_Deletion,CreationDate,Creator,EditDate,Editor,ObjectId2
-8343295.64741414,4796519.78723302,,South Jersey Clothing Co.,42.24,NJD980766828,200803,1170,2,New Jersey,Minotola,Atlantic,NPL Site,-74.9491,39.5206,6/24/1988,10/4/1989,3/18/1999,594,,,"<a href=""https://semspub.epa.gov/src/document/02/363401"" target=""_blank"">NJD980766828 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200803"" target=""_blank"">South Jersey Clothing Co.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,No,,,,,1051
-8248674.08023986,4990771.6203022,,Industrial Latex Corp.,32.38,NJD981178411,201073,1171,2,New Jersey,Wallington Borough,Bergen,Deleted NPL Site,-74.0991,40.8536,6/24/1988,3/31/1989,9/27/2001,795,12/9/2002,4/21/2003,"<a href=""https://semspub.epa.gov/src/document/02/363402"" target=""_blank"">NJD981178411 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201073"" target=""_blank"">Industrial Latex Corp.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2003-04-21/pdf/03-9745.pdf"" target=""_blank"">04/21/2003 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2002-12-09/pdf/02-30838.pdf"" target=""_blank"">12/09/2002 (PDF)</a>",,No,,,,,1052
-8306135.08631702,4922413.54256922,,Higgins Disposal,30.87,NJD053102232,200359,1172,2,New Jersey,Franklin Township,Somerset,NPL Site,-74.615281,40.3875,6/24/1988,8/30/1990,6/27/2006,974,,,"<a href=""https://semspub.epa.gov/src/document/02/363403"" target=""_blank"">NJD053102232 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200359"" target=""_blank"">Higgins Disposal</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>",,,No,,,,,1053
-8304743.5926821,4925174.55726454,,Higgins Farm,30.47,NJD981490261,201094,1173,2,New Jersey,Franklin Township,Somerset,NPL Site,-74.602781,40.406389,6/24/1988,3/31/1989,9/25/1998,555,,,"<a href=""https://semspub.epa.gov/src/document/02/363404"" target=""_blank"">NJD981490261 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201094"" target=""_blank"">Higgins Farm</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,No,,,,,1054
-8269492.0495326,4931023.93656294,,Global Sanitary Landfill,45.92,NJD063160667,200398,1174,2,New Jersey,Old Bridge Township,Middlesex,NPL Site,-74.286111,40.446389,6/24/1988,3/31/1989,1/16/2014,1157,,,"<a href=""https://semspub.epa.gov/src/document/02/363405"" target=""_blank"">NJD063160667 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200398"" target=""_blank"">Global Sanitary Landfill</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,No,,,,,1055
-8199553.68701038,4973675.78864708,,Fulton Avenue,33.08,NY0000110247,203853,1494,2,New York,North Hempstead,Nassau,NPL Site,-73.657844,40.737337,9/25/1997,3/6/1998,,,,,"<a href=""https://semspub.epa.gov/src/document/02/363469"" target=""_blank"">NY0000110247 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0203853"" target=""_blank"">Fulton Avenue</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-09-25/pdf/97-25094.pdf"" target=""_blank"">09/25/1997 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-03-06/pdf/98-5725.pdf"" target=""_blank"">03/06/1998 (PDF)</a>",,,No,,,,,1056
-8343334.60923592,4796293.36870782,,Garden State Cleaners Co.,28.9,NJD053280160,200362,1229,2,New Jersey,Minotola,Atlantic,NPL Site,-74.94945,39.519031,6/24/1988,3/31/1989,3/18/1999,593,,,"<a href=""https://semspub.epa.gov/src/document/02/363417"" target=""_blank"">NJD053280160 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200362"" target=""_blank"">Garden State Cleaners Co.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,No,,,,,1057
-8302579.3191421,4787537.82372577,,Federal Aviation Administration Technical Center,39.65,NJ9690510020,201178,1250,2,New Jersey,Atlantic County,Atlantic,NPL Site,-74.583339,39.458331,7/14/1989,8/30/1990,,,,,"<a href=""https://semspub.epa.gov/src/document/02/363424"" target=""_blank"">NJ9690510020 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201178"" target=""_blank"">Federal Aviation Administration Technical Center</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>",,,No,,,,,1058
-8278607.89131417,4942881.21326645,,Chemical Insecticide Corp.,37.93,NJD980484653,200517,1286,2,New Jersey,Edison Township,Middlesex,NPL Site,-74.368,40.5274,10/26/1989,8/30/1990,9/16/2005,946,,,"<a href=""https://semspub.epa.gov/src/document/02/363430"" target=""_blank"">NJD980484653 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200517"" target=""_blank"">Chemical Insecticide Corp.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189651"" target=""_blank"">10/26/1989 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>",,,No,,,,,1059
-8259710.51719608,4967969.33318967,,White Chemical Corp.,,NJD980755623,203357,1320,2,New Jersey,Newark,Essex,NPL Site,-74.198242,40.698484,5/9/1991,9/25/1991,,,,,"<a href=""https://semspub.epa.gov/src/document/02/363438"" target=""_blank"">NJD980755623 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0203357"" target=""_blank"">White Chemical Corp.</a>",,"<a href=""https://semspub.epa.gov/src/document/02/363659"" target=""_blank"">05/09/1991 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/02/363657"" target=""_blank"">09/25/1991 (PDF)</a>",,,No,,,,,1060
